Distributor Area,Origin Area,Origin Latitude,Longitude_x,Destination Area,Destination Latitude,Destination Longitude,Volume (CS),Distance (km),Cost/Trip
CDP-BNR,DC-JKT,-6.2,106.8,Mataram,-8.5833,116.1167,4223,1060.8969766122175,5500.057051134742
CDP-BNR,CDP-SUL,-3.0,120.0,Denpasar,-8.65,115.2167,2872,821.246046717488,4171.432869461154
DC-MDN,DC-MDN,3.6,98.6,Palembang,-2.9761,104.7754,2691,1002.8379470237779,478.4230535432678
DC-SBY,DC-SBY,-7.2,112.7,Jakarta,-6.2088,106.8456,300,655.8431676337594,383.19623928940894
CDP-KLT,DC-JKT,-6.2,106.8,Palangkaraya,-2.2089,113.9167,3920,905.2865376161213,4145.521957532771
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,2076,2096.5288073463084,9969.521378806718
CDP-KLT,DC-MDN,3.6,98.6,Palangkaraya,-2.2089,113.9167,4772,1820.708030061488,9276.692684509388
CDP-BNR,CDP-SUL,-3.0,120.0,Denpasar,-8.65,115.2167,4937,821.246046717488,3853.348236597401
DC-JKT,DC-SBY,-7.2,112.7,Surabaya,-7.2575,112.7521,2058,8.5970875706038,4.3568206081234
DC-JKT,DC-JKT,-6.2,106.8,Bandung,-6.9175,107.6191,3586,120.6333559325586,64.18777237713417
CDP-KLT,DC-JKT,-6.2,106.8,Pontianak,-0.0267,109.33,2461,741.6411412678369,4149.9915204203335
CDP-SUL,CDP-KLT,-0.5,115.0,Kendari,-3.9888,122.5159,2961,920.6792554302883,3669.2831180899625
DC-JKT,DC-SBY,-7.2,112.7,Surabaya,-7.2575,112.7521,4165,8.5970875706038,3.4423447261662337
DC-SBY,DC-MDN,3.6,98.6,Semarang,-6.9667,110.4233,3935,1761.4031138772393,977.7881099355619
DC-JKT,CDP-SUL,-3.0,120.0,Jakarta,-6.2088,106.8456,4205,1500.7970868827967,7681.549738667989
CDP-BNR,DC-MDN,3.6,98.6,Denpasar,-8.65,115.2167,1240,2291.2073540769134,8621.518407837892
DC-JKT,DC-JKT,-6.2,106.8,Yogyakarta,-7.7956,110.3695,2041,432.0497972825557,216.4544644981353
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,3121,224.96399863478132,1163.0296991976056
DC-JKT,CDP-SUL,-3.0,120.0,Bandung,-6.9175,107.6191,2571,1438.7742021763645,7100.837312499685
CDP-KLT,CDP-BNR,-8.0,117.0,Balikpapan,-1.2653,116.8253,3383,749.1144479667884,3643.4135509212747
DC-MDN,CDP-BNR,-8.0,117.0,Medan,3.5952,98.6722,618,2407.322557213567,9980.079376601872
DC-SBY,CDP-BNR,-8.0,117.0,Tg. Priok,-6.1051,106.887,2296,1135.6486895447179,5146.479054654065
CDP-BNR,CDP-KLT,-0.5,115.0,Mataram,-8.5833,116.1167,1518,907.2909384257198,4166.516415426723
CDP-KLT,DC-MDN,3.6,98.6,Pontianak,-0.0267,109.33,4726,1258.6905574161763,5703.329317341758
DC-SBY,DC-JKT,-6.2,106.8,Semarang,-6.9667,110.4233,4522,409.21110755158253,176.79691970455448
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,758,320.6485338953572,1451.661212946057
CDP-BNR,DC-JKT,-6.2,106.8,Mataram,-8.5833,116.1167,2935,1060.8969766122175,5559.575201520886
CDP-SUL,CDP-KLT,-0.5,115.0,Manado,1.4748,124.8421,149,1116.1120891327735,6243.216905451933
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,844,320.6485338953572,1503.6432764461683
CDP-KLT,CDP-BNR,-8.0,117.0,Balikpapan,-1.2653,116.8253,2773,749.1144479667884,3635.97306227542
DC-MDN,CDP-KLT,-0.5,115.0,Palembang,-2.9761,104.7754,969,1169.191156381192,5222.610301158193
CDP-BNR,CDP-SUL,-3.0,120.0,Mataram,-8.5833,116.1167,4152,754.8772804835337,3247.7637265339904
DC-SBY,DC-SBY,-7.2,112.7,Jakarta,-6.2088,106.8456,3796,655.8431676337594,367.33352405948517
DC-MDN,DC-SBY,-7.2,112.7,Pekanbaru,0.5061,101.4477,1447,1513.9381482957867,648.837647542711
